date,doy,electron_activity,proton_activity,flare,cme,missing_data,missing_pct,units
2018-05-18,138,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-05-19,139,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-05-20,140,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-05-21,141,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-05-22,142,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-05-23,143,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-05-24,144,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-05-25,145,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-05-26,146,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-05-27,147,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-05-28,148,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-05-29,149,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-05-30,150,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-05-31,151,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-01,152,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-02,153,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-06-03,154,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-06-04,155,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-06-05,156,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-06-06,157,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-06-07,158,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-08,159,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-09,160,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-10,161,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-11,162,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-12,163,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-13,164,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-14,165,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-15,166,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-16,167,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-17,168,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-18,169,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-19,170,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-20,171,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-21,172,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-22,173,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-23,174,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-24,175,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-25,176,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-26,177,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-27,178,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-28,179,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-06-29,180,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-06-30,181,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-07-01,182,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-07-02,183,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-07-03,184,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-07-04,185,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-07-05,186,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-07-06,187,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-07-07,188,Low,Low,No,No,No,0,particles/sq cm.sec.sr
